campaign,date,channel,impressions,clicks,conversions,ad_spend,revenue
Spring Sale,2026-01-05,Instagram,50000,2500,180,12000000,42000000
Spring Sale,2026-01-12,Instagram,62000,3100,220,14500000,51000000
Spring Sale,2026-01-20,Instagram,58000,2900,205,13800000,47000000
Google Ads,2026-01-06,Google,45000,3600,300,18000000,72000000
Google Ads,2026-01-15,Google,52000,4100,340,21000000,85000000
Google Ads,2026-01-24,Google,60000,4800,390,24000000,96000000
Summer Sale,2026-02-03,Instagram,70000,3500,240,16000000,54000000
Summer Sale,2026-02-12,Instagram,76000,3800,270,17500000,62000000
Summer Sale,2026-02-21,Instagram,82000,4100,300,19000000,69000000
Search Promo,2026-02-05,Google,55000,4400,360,22000000,90000000
Search Promo,2026-02-16,Google,63000,5000,420,25000000,105000000
Search Promo,2026-02-25,Google,68000,5400,450,27000000,115000000
Email Offer,2026-03-03,Email,30000,4500,500,5000000,75000000
Email Offer,2026-03-12,Email,34000,5100,560,5500000,84000000
Email Offer,2026-03-22,Email,38000,5700,620,6000000,93000000
Retargeting,2026-03-05,Display,40000,2800,350,9000000,68000000
Retargeting,2026-03-14,Display,45000,3150,390,10000000,76000000
Retargeting,2026-03-24,Display,50000,3500,430,11000000,85000000
